group,group_order,option,option_order,is_adopted,delta,ci_low,ci_high
Features,1,attn + geo + conf,0,1,,,
Features,1,attention only,1,0,-26.80,-27.76,-25.84
Features,1,attn + geo,2,0,-16.90,-17.84,-15.96
Features,1,attn + geo + margin,3,0,-2.10,-2.98,-1.22
Features,1,"conf, random-aged",4,0,-13.10,-14.03,-12.17
Architecture,2,set-attention,0,1,,,
Architecture,2,MLP 64x2,1,0,-0.10,-0.99,0.79
Architecture,2,MLP 128x3,2,0,-0.60,-1.50,0.30
Architecture,2,MLP 32x2,3,0,-1.00,-1.90,-0.10
Architecture,2,linear,4,0,-11.10,-12.05,-10.15
Training loss,3,Plackett-Luce,0,1,,,
Training loss,3,decay-in-h,1,0,-0.10,-0.99,0.79
Training loss,3,BCE (balanced),2,0,-1.50,-2.40,-0.60
Training loss,3,BCE,3,0,-1.90,-2.80,-1.00
Training loss,3,uniform-in-h,4,0,-2.10,-3.01,-1.19
Normalization,4,softmax-attn,0,1,,,
Normalization,4,rank,1,0,-0.20,-1.09,0.69
Normalization,4,raw,2,0,-1.50,-2.40,-0.60
Normalization,4,minmax-row,3,0,-2.80,-3.71,-1.89
Normalization,4,znorm-row,4,0,-6.60,-7.53,-5.67
Horizon,5,h=5,0,1,,,
Horizon,5,h=3,1,0,0.00,-0.89,0.89
Horizon,5,h=8,2,0,-0.30,-1.19,0.59
Horizon,5,h=12,3,0,-0.50,-1.39,0.39
Horizon,5,h=16,4,0,-2.60,-3.51,-1.69
