nohup: ignoring input
[gpu0] START batch__ours__bs1
[gpu0] DONE batch__ours__bs1
[gpu0] START batch__ours__bs2
[gpu0] DONE batch__ours__bs2
[gpu0] START batch__ours__bs4
[gpu0] DONE batch__ours__bs4
[gpu0] START batch__ours__bs8
[gpu0] DONE batch__ours__bs8
[gpu0] START batch__ours__bs16
[gpu0] DONE batch__ours__bs16
[gpu0] START batch__dllmcache__bs1
[gpu0] DONE batch__dllmcache__bs1
[gpu0] START batch__dllmcache__bs2
[gpu0] DONE batch__dllmcache__bs2
[gpu0] START batch__dllmcache__bs4
[gpu0] DONE batch__dllmcache__bs4
[gpu0] START batch__dllmcache__bs8
[gpu0] DONE batch__dllmcache__bs8
[gpu0] START batch__dllmcache__bs16
[gpu0] DONE batch__dllmcache__bs16
[gpu0] START batch__fastdllm__bs1
[gpu0] DONE batch__fastdllm__bs1
[gpu0] START batch__fastdllm__bs2
[gpu0] DONE batch__fastdllm__bs2
[gpu0] START batch__fastdllm__bs4
[gpu0] DONE batch__fastdllm__bs4
[gpu0] START batch__fastdllm__bs8
[gpu0] DONE batch__fastdllm__bs8
[gpu0] START batch__fastdllm__bs16
[gpu0] DONE batch__fastdllm__bs16
[gpu0] START batch__d2cache__bs1
[gpu0] DONE batch__d2cache__bs1
[gpu0] START batch__d2cache__bs2
[gpu0] DONE batch__d2cache__bs2
[gpu0] START batch__d2cache__bs4
[gpu0] DONE batch__d2cache__bs4
[gpu0] START batch__d2cache__bs8
[gpu0] DONE batch__d2cache__bs8
[gpu0] START batch__d2cache__bs16
[gpu0] DONE batch__d2cache__bs16

batch finished; next: python run_experiment_6_horizontal_equal_quality.py batch_report
