model,setting,budget_index,compute_tflops,wall_clock_sec,performance_avg,batch_samples
ours,bs1,1,220.0,8.41,67.19,1
ours,bs2,2,220.0,5.8,62.5,2
ours,bs4,3,220.0,3.5,62.5,4
ours,bs8,4,220.0,2.35,65.62,8
ours,bs16,5,220.0,2.14,67.19,16
dllm-cache,bs1,1,1008.7,8.21,65.62,1
dllm-cache,bs2,2,1008.7,5.43,62.5,2
dllm-cache,bs4,3,1008.7,4.47,59.38,4
dllm-cache,bs8,4,1008.7,4.26,62.5,8
dllm-cache,bs16,5,1008.7,4.43,60.94,16
fast-dllm,bs1,1,284.3,4.29,64.06,1
fast-dllm,bs2,2,284.3,3.29,64.06,2
fast-dllm,bs4,3,284.3,1.87,68.75,4
fast-dllm,bs8,4,284.3,1.23,65.62,8
fast-dllm,bs16,5,284.3,1.17,67.19,16
d2cache,bs1,1,344.2,7.68,67.19,1
d2cache,bs2,2,344.2,4.64,62.5,2
d2cache,bs4,3,344.2,3.58,62.5,4
d2cache,bs8,4,344.2,4.21,67.19,8
d2cache,bs16,5,344.2,5.52,60.94,16
