nohup: ignoring input
[gpu0] START dense__full
[gpu0] DONE dense__full
[gpu0] START ours__kr8_kp0
[gpu0] DONE ours__kr8_kp0
[gpu0] START ours__kr8_kp64
[gpu0] DONE ours__kr8_kp64
[gpu0] START ours__kr8_kp96
[gpu0] DONE ours__kr8_kp96
[gpu0] START ours__kr16_kp0
[gpu0] DONE ours__kr16_kp0
[gpu0] START ours__kr16_kp64
[gpu0] DONE ours__kr16_kp64
[gpu0] START ours__kr16_kp96
[gpu0] DONE ours__kr16_kp96
[gpu0] START ours__kr32_kp0
[gpu0] DONE ours__kr32_kp0
[gpu0] START ours__kr32_kp64
[gpu0] DONE ours__kr32_kp64
[gpu0] START ours__kr32_kp96
[gpu0] DONE ours__kr32_kp96
[gpu0] START ours__kr48_kp0
[gpu0] DONE ours__kr48_kp0
[gpu0] START ours__kr48_kp64
[gpu0] DONE ours__kr48_kp64
[gpu0] START ours__kr48_kp96
[gpu0] DONE ours__kr48_kp96
[gpu0] START dllmcache__v0.25_kr8_kp64
[gpu0] DONE dllmcache__v0.25_kr8_kp64
[gpu0] START dllmcache__v0.25_kr8_kp100
[gpu0] DONE dllmcache__v0.25_kr8_kp100
[gpu0] START dllmcache__v0.25_kr16_kp64
[gpu0] DONE dllmcache__v0.25_kr16_kp64
[gpu0] START dllmcache__v0.25_kr16_kp100
[gpu0] DONE dllmcache__v0.25_kr16_kp100
[gpu0] START dllmcache__v0.25_kr32_kp64
[gpu0] DONE dllmcache__v0.25_kr32_kp64
[gpu0] START dllmcache__v0.25_kr32_kp100
[gpu0] DONE dllmcache__v0.25_kr32_kp100
[gpu0] START dllmcache__v0.5_kr8_kp64
[gpu0] DONE dllmcache__v0.5_kr8_kp64
[gpu0] START dllmcache__v0.5_kr8_kp100
[gpu0] DONE dllmcache__v0.5_kr8_kp100
[gpu0] START dllmcache__v0.5_kr16_kp64
[gpu0] DONE dllmcache__v0.5_kr16_kp64
[gpu0] START dllmcache__v0.5_kr16_kp100
[gpu0] DONE dllmcache__v0.5_kr16_kp100
[gpu0] START dllmcache__v0.5_kr32_kp64
[gpu0] DONE dllmcache__v0.5_kr32_kp64
[gpu0] START dllmcache__v0.5_kr32_kp100
[gpu0] DONE dllmcache__v0.5_kr32_kp100
[gpu0] START fastdllm__nb2
[gpu0] DONE fastdllm__nb2
[gpu0] START fastdllm__nb4
[gpu0] DONE fastdllm__nb4
[gpu0] START fastdllm__nb8
[gpu0] DONE fastdllm__nb8
[gpu0] START fastdllm__nb16
[gpu0] DONE fastdllm__nb16
[gpu0] START fastdllm__nb32
[gpu0] DONE fastdllm__nb32
[gpu0] START d2cache__k16_p0.05
[gpu0] DONE d2cache__k16_p0.05
[gpu0] START d2cache__k16_p0.1
[gpu0] DONE d2cache__k16_p0.1
[gpu0] START d2cache__k32_p0.05
[gpu0] DONE d2cache__k32_p0.05
[gpu0] START d2cache__k32_p0.1
[gpu0] DONE d2cache__k32_p0.1
[gpu0] START d2cache__k64_p0.05
[gpu0] DONE d2cache__k64_p0.05
[gpu0] START d2cache__k64_p0.1
[gpu0] DONE d2cache__k64_p0.1

sweep finished; next: python run_experiment_6_horizontal_equal_quality.py report
