model,setting,budget_index,compute_tflops,wall_clock_sec,performance_avg,batch_samples
d2cache,k16_p0.05,1,344.2,6.44,67.19,1
d2cache,k32_p0.05,2,408.4,6.2,56.25,1
d2cache,k64_p0.05,3,536.7,6.33,59.38,1
d2cache,k16_p0.1,4,600.2,6.51,64.06,1
d2cache,k32_p0.1,5,664.4,6.34,57.81,1
d2cache,k64_p0.1,6,792.7,6.38,60.94,1
dllm-cache,v0.25_kr32_kp100,1,974.1,6.51,62.5,1
dllm-cache,v0.25_kr32_kp64,2,987.9,6.53,60.94,1
dllm-cache,v0.25_kr16_kp100,3,994.9,6.5,60.94,1
dllm-cache,v0.25_kr16_kp64,4,1008.7,6.54,65.62,1
dllm-cache,v0.25_kr8_kp100,5,1036.6,6.59,60.94,1
dllm-cache,v0.25_kr8_kp64,6,1050.4,6.38,62.5,1
dllm-cache,v0.5_kr32_kp100,7,1189.2,6.57,64.06,1
dllm-cache,v0.5_kr16_kp100,8,1203.1,6.46,64.06,1
dllm-cache,v0.5_kr32_kp64,9,1203.1,6.68,65.62,1
dllm-cache,v0.5_kr16_kp64,10,1216.9,6.5,67.19,1
dllm-cache,v0.5_kr8_kp100,11,1230.9,6.34,62.5,1
dllm-cache,v0.5_kr8_kp64,12,1244.7,6.35,67.19,1
fast-dllm,nb8,1,284.3,4.41,64.06,1
fast-dllm,nb4,2,332.6,4.22,71.88,1
fast-dllm,nb16,3,380.2,4.3,62.5,1
fast-dllm,nb2,4,549.3,4.42,50.0,1
fast-dllm,nb32,5,668.2,4.59,67.19,1
full denoising,full,1,5120.7,7.67,65.62,1
ours,kr48_kp0,1,74.2,7.58,39.06,1
ours,kr32_kp0,2,82.0,7.33,43.75,1
ours,kr48_kp96,3,104.1,7.6,42.19,1
ours,kr32_kp96,4,111.8,7.58,50.0,1
ours,kr16_kp0,5,113.0,7.32,46.88,1
ours,kr48_kp64,6,119.0,7.59,50.0,1
ours,kr32_kp64,7,126.8,7.52,48.44,1
ours,kr16_kp96,8,142.9,7.38,51.56,1
ours,kr16_kp64,9,157.8,7.42,53.12,1
ours,kr8_kp0,10,175.2,7.4,50.0,1
ours,kr8_kp96,11,205.1,7.41,60.94,1
ours,kr8_kp64,12,220.0,7.58,67.19,1
