method,id_doc,n,k_injected,correct_flex,correct_strict,has_done,seconds,setting
d2cache,0,0,0,1,1,1,6.84,"{""d2c_conf_mode"": ""live"", ""d2c_k"": 8, ""d2c_rollout_p"": 0.05, ""d2c_sigma"": 10.0}"
d2cache,0,10,26,1,1,1,5.65,"{""d2c_conf_mode"": ""live"", ""d2c_k"": 8, ""d2c_rollout_p"": 0.05, ""d2c_sigma"": 10.0}"
d2cache,0,20,51,1,1,1,5.06,"{""d2c_conf_mode"": ""live"", ""d2c_k"": 8, ""d2c_rollout_p"": 0.05, ""d2c_sigma"": 10.0}"
d2cache,0,30,77,1,1,1,4.42,"{""d2c_conf_mode"": ""live"", ""d2c_k"": 8, ""d2c_rollout_p"": 0.05, ""d2c_sigma"": 10.0}"
d2cache,0,40,102,1,1,1,3.83,"{""d2c_conf_mode"": ""live"", ""d2c_k"": 8, ""d2c_rollout_p"": 0.05, ""d2c_sigma"": 10.0}"
d2cache,0,50,128,1,1,1,3.21,"{""d2c_conf_mode"": ""live"", ""d2c_k"": 8, ""d2c_rollout_p"": 0.05, ""d2c_sigma"": 10.0}"
d2cache,0,60,154,1,1,1,2.59,"{""d2c_conf_mode"": ""live"", ""d2c_k"": 8, ""d2c_rollout_p"": 0.05, ""d2c_sigma"": 10.0}"
d2cache,0,70,179,1,1,1,1.99,"{""d2c_conf_mode"": ""live"", ""d2c_k"": 8, ""d2c_rollout_p"": 0.05, ""d2c_sigma"": 10.0}"
d2cache,0,80,205,1,1,1,1.37,"{""d2c_conf_mode"": ""live"", ""d2c_k"": 8, ""d2c_rollout_p"": 0.05, ""d2c_sigma"": 10.0}"
d2cache,0,90,230,1,1,1,0.76,"{""d2c_conf_mode"": ""live"", ""d2c_k"": 8, ""d2c_rollout_p"": 0.05, ""d2c_sigma"": 10.0}"
d2cache,1,0,0,1,1,1,6.64,"{""d2c_conf_mode"": ""live"", ""d2c_k"": 8, ""d2c_rollout_p"": 0.05, ""d2c_sigma"": 10.0}"
d2cache,1,10,26,1,1,1,5.93,"{""d2c_conf_mode"": ""live"", ""d2c_k"": 8, ""d2c_rollout_p"": 0.05, ""d2c_sigma"": 10.0}"
d2cache,1,20,51,1,1,1,5.33,"{""d2c_conf_mode"": ""live"", ""d2c_k"": 8, ""d2c_rollout_p"": 0.05, ""d2c_sigma"": 10.0}"
d2cache,1,30,77,1,1,1,4.67,"{""d2c_conf_mode"": ""live"", ""d2c_k"": 8, ""d2c_rollout_p"": 0.05, ""d2c_sigma"": 10.0}"
d2cache,1,40,102,1,1,1,4.05,"{""d2c_conf_mode"": ""live"", ""d2c_k"": 8, ""d2c_rollout_p"": 0.05, ""d2c_sigma"": 10.0}"
d2cache,1,50,128,1,1,1,3.39,"{""d2c_conf_mode"": ""live"", ""d2c_k"": 8, ""d2c_rollout_p"": 0.05, ""d2c_sigma"": 10.0}"
d2cache,1,60,154,1,1,1,2.73,"{""d2c_conf_mode"": ""live"", ""d2c_k"": 8, ""d2c_rollout_p"": 0.05, ""d2c_sigma"": 10.0}"
d2cache,1,70,179,1,1,1,2.1,"{""d2c_conf_mode"": ""live"", ""d2c_k"": 8, ""d2c_rollout_p"": 0.05, ""d2c_sigma"": 10.0}"
d2cache,1,80,205,1,1,1,1.44,"{""d2c_conf_mode"": ""live"", ""d2c_k"": 8, ""d2c_rollout_p"": 0.05, ""d2c_sigma"": 10.0}"
d2cache,1,90,230,1,1,1,0.81,"{""d2c_conf_mode"": ""live"", ""d2c_k"": 8, ""d2c_rollout_p"": 0.05, ""d2c_sigma"": 10.0}"
