method,id_doc,n,k_injected,correct_flex,correct_strict,has_done,seconds,setting
fastdllm,0,0,0,1,1,1,6.13,{}
fastdllm,0,10,26,1,1,1,5.11,{}
fastdllm,0,20,51,1,1,1,4.65,{}
fastdllm,0,30,77,1,1,1,3.97,{}
fastdllm,0,40,102,1,1,1,3.51,{}
fastdllm,0,50,128,1,1,1,2.92,{}
fastdllm,0,60,154,1,1,1,2.43,{}
fastdllm,0,70,179,1,1,1,1.86,{}
fastdllm,0,80,205,1,1,1,1.38,{}
fastdllm,0,90,230,1,1,1,0.91,{}
fastdllm,1,0,0,1,1,1,5.68,{}
fastdllm,1,10,26,1,1,1,5.17,{}
fastdllm,1,20,51,1,1,1,4.6,{}
fastdllm,1,30,77,1,1,1,4.01,{}
fastdllm,1,40,102,1,1,1,3.43,{}
fastdllm,1,50,128,1,1,1,2.94,{}
fastdllm,1,60,154,1,1,1,2.35,{}
fastdllm,1,70,179,1,1,1,1.77,{}
fastdllm,1,80,205,1,1,1,1.17,{}
fastdllm,1,90,230,1,1,1,0.7,{}
fastdllm,3,0,0,1,1,1,5.48,{}
fastdllm,3,10,26,1,1,1,4.99,{}
fastdllm,3,20,51,1,1,1,4.53,{}
fastdllm,3,30,77,1,1,1,3.87,{}
fastdllm,3,40,102,1,1,1,3.32,{}
fastdllm,3,50,128,1,1,1,2.83,{}
fastdllm,3,60,154,1,1,1,2.26,{}
fastdllm,3,70,179,1,1,1,1.79,{}
fastdllm,3,80,205,1,1,1,1.29,{}
fastdllm,3,90,230,1,1,1,0.82,{}
fastdllm,4,0,0,1,1,1,5.73,{}
fastdllm,4,10,26,1,1,1,5.23,{}
fastdllm,4,20,51,1,1,1,4.65,{}
fastdllm,4,30,77,1,1,1,4.05,{}
fastdllm,4,40,102,1,1,1,3.47,{}
fastdllm,4,50,128,1,1,1,2.97,{}
fastdllm,4,60,154,1,1,1,2.48,{}
fastdllm,4,70,179,1,1,1,1.79,{}
fastdllm,4,80,205,1,1,1,1.29,{}
fastdllm,4,90,230,1,1,1,0.71,{}
fastdllm,6,0,0,1,1,1,5.57,{}
fastdllm,6,10,26,1,1,1,5.07,{}
fastdllm,6,20,51,1,1,1,4.51,{}
fastdllm,6,30,77,1,1,1,4.02,{}
fastdllm,6,40,102,1,1,1,3.37,{}
fastdllm,6,50,128,1,1,1,2.87,{}
fastdllm,6,60,154,1,1,1,2.29,{}
fastdllm,6,70,179,1,1,1,1.81,{}
fastdllm,6,80,205,1,1,1,1.23,{}
fastdllm,6,90,230,1,1,1,0.76,{}
fastdllm,9,0,0,1,1,1,5.52,{}
fastdllm,9,10,26,1,1,1,5.02,{}
fastdllm,9,20,51,1,1,1,4.47,{}
fastdllm,9,30,77,1,1,1,3.98,{}
fastdllm,9,40,102,1,1,1,3.42,{}
fastdllm,9,50,128,1,1,1,2.84,{}
fastdllm,9,60,154,1,1,1,2.27,{}
fastdllm,9,70,179,1,1,1,1.71,{}
fastdllm,9,80,205,1,1,1,1.13,{}
fastdllm,9,90,230,1,1,1,0.66,{}
fastdllm,10,0,0,1,1,0,5.59,{}
fastdllm,10,10,26,1,1,1,5.09,{}
fastdllm,10,20,51,0,0,1,4.52,{}
fastdllm,10,30,77,1,1,1,3.93,{}
fastdllm,10,40,102,1,1,1,3.46,{}
fastdllm,10,50,128,1,1,1,2.88,{}
fastdllm,10,60,154,1,1,1,2.29,{}
fastdllm,10,70,179,1,1,1,1.73,{}
fastdllm,10,80,205,1,1,1,1.24,{}
fastdllm,10,90,230,1,1,1,0.76,{}
fastdllm,11,0,0,1,1,1,5.91,{}
fastdllm,11,10,26,1,1,1,5.41,{}
fastdllm,11,20,51,1,1,1,4.93,{}
fastdllm,11,30,77,1,1,1,4.44,{}
fastdllm,11,40,102,1,1,1,3.83,{}
fastdllm,11,50,128,1,1,1,3.33,{}
fastdllm,11,60,154,1,1,1,2.46,{}
fastdllm,11,70,179,1,1,1,1.98,{}
fastdllm,11,80,205,1,1,1,1.35,{}
fastdllm,11,90,230,1,1,1,0.87,{}
fastdllm,14,0,0,1,1,1,5.52,{}
fastdllm,14,10,26,1,1,1,5.02,{}
fastdllm,14,20,51,1,1,1,4.47,{}
fastdllm,14,30,77,1,1,1,3.97,{}
fastdllm,14,40,102,1,1,1,3.42,{}
fastdllm,14,50,128,1,1,1,2.92,{}
fastdllm,14,60,154,1,1,1,2.35,{}
