method,id_doc,n,k_injected,correct_flex,correct_strict,has_done,seconds,setting
ours,0,0,0,1,1,1,8.11,"{""h"": 5, ""path_router"": ""routers_e2e/llada_base__cm_clean.pt"", ""select_only_in_h"": true, ""step_refresh_remainder"": 8, ""step_refresh_remainder_prompt"": 32}"
ours,0,2,5,1,1,1,7.99,"{""h"": 5, ""path_router"": ""routers_e2e/llada_base__cm_clean.pt"", ""select_only_in_h"": true, ""step_refresh_remainder"": 8, ""step_refresh_remainder_prompt"": 32}"
ours,0,4,10,1,1,1,7.23,"{""h"": 5, ""path_router"": ""routers_e2e/llada_base__cm_clean.pt"", ""select_only_in_h"": true, ""step_refresh_remainder"": 8, ""step_refresh_remainder_prompt"": 32}"
ours,0,6,15,1,1,1,7.22,"{""h"": 5, ""path_router"": ""routers_e2e/llada_base__cm_clean.pt"", ""select_only_in_h"": true, ""step_refresh_remainder"": 8, ""step_refresh_remainder_prompt"": 32}"
ours,0,8,20,1,1,1,7.25,"{""h"": 5, ""path_router"": ""routers_e2e/llada_base__cm_clean.pt"", ""select_only_in_h"": true, ""step_refresh_remainder"": 8, ""step_refresh_remainder_prompt"": 32}"
ours,0,10,26,1,1,1,7.25,"{""h"": 5, ""path_router"": ""routers_e2e/llada_base__cm_clean.pt"", ""select_only_in_h"": true, ""step_refresh_remainder"": 8, ""step_refresh_remainder_prompt"": 32}"
ours,0,12,31,1,1,1,7.25,"{""h"": 5, ""path_router"": ""routers_e2e/llada_base__cm_clean.pt"", ""select_only_in_h"": true, ""step_refresh_remainder"": 8, ""step_refresh_remainder_prompt"": 32}"
ours,0,14,36,1,1,1,7.24,"{""h"": 5, ""path_router"": ""routers_e2e/llada_base__cm_clean.pt"", ""select_only_in_h"": true, ""step_refresh_remainder"": 8, ""step_refresh_remainder_prompt"": 32}"
ours,0,16,41,1,1,1,7.25,"{""h"": 5, ""path_router"": ""routers_e2e/llada_base__cm_clean.pt"", ""select_only_in_h"": true, ""step_refresh_remainder"": 8, ""step_refresh_remainder_prompt"": 32}"
ours,0,18,46,1,1,1,7.26,"{""h"": 5, ""path_router"": ""routers_e2e/llada_base__cm_clean.pt"", ""select_only_in_h"": true, ""step_refresh_remainder"": 8, ""step_refresh_remainder_prompt"": 32}"
ours,0,20,51,1,1,1,7.26,"{""h"": 5, ""path_router"": ""routers_e2e/llada_base__cm_clean.pt"", ""select_only_in_h"": true, ""step_refresh_remainder"": 8, ""step_refresh_remainder_prompt"": 32}"
ours,0,22,56,1,1,1,7.26,"{""h"": 5, ""path_router"": ""routers_e2e/llada_base__cm_clean.pt"", ""select_only_in_h"": true, ""step_refresh_remainder"": 8, ""step_refresh_remainder_prompt"": 32}"
ours,0,24,61,1,1,1,7.26,"{""h"": 5, ""path_router"": ""routers_e2e/llada_base__cm_clean.pt"", ""select_only_in_h"": true, ""step_refresh_remainder"": 8, ""step_refresh_remainder_prompt"": 32}"
ours,0,26,67,1,1,1,7.25,"{""h"": 5, ""path_router"": ""routers_e2e/llada_base__cm_clean.pt"", ""select_only_in_h"": true, ""step_refresh_remainder"": 8, ""step_refresh_remainder_prompt"": 32}"
ours,0,28,72,1,1,1,7.26,"{""h"": 5, ""path_router"": ""routers_e2e/llada_base__cm_clean.pt"", ""select_only_in_h"": true, ""step_refresh_remainder"": 8, ""step_refresh_remainder_prompt"": 32}"
ours,0,30,77,1,1,1,7.26,"{""h"": 5, ""path_router"": ""routers_e2e/llada_base__cm_clean.pt"", ""select_only_in_h"": true, ""step_refresh_remainder"": 8, ""step_refresh_remainder_prompt"": 32}"
ours,0,32,82,1,1,1,7.26,"{""h"": 5, ""path_router"": ""routers_e2e/llada_base__cm_clean.pt"", ""select_only_in_h"": true, ""step_refresh_remainder"": 8, ""step_refresh_remainder_prompt"": 32}"
ours,0,34,87,1,1,1,7.28,"{""h"": 5, ""path_router"": ""routers_e2e/llada_base__cm_clean.pt"", ""select_only_in_h"": true, ""step_refresh_remainder"": 8, ""step_refresh_remainder_prompt"": 32}"
ours,0,36,92,1,1,1,7.29,"{""h"": 5, ""path_router"": ""routers_e2e/llada_base__cm_clean.pt"", ""select_only_in_h"": true, ""step_refresh_remainder"": 8, ""step_refresh_remainder_prompt"": 32}"
ours,0,38,97,1,1,1,7.3,"{""h"": 5, ""path_router"": ""routers_e2e/llada_base__cm_clean.pt"", ""select_only_in_h"": true, ""step_refresh_remainder"": 8, ""step_refresh_remainder_prompt"": 32}"
