model,sample_id,fidelity,score
ours,0,1.0,1.0
ours,1,1.0,1.0
ours,3,0.9348,0.9348
ours,4,0.8913,0.8913
ours,6,0.9565,0.9565
ours,9,0.8913,0.8913
ours,10,0.9565,0.9565
ours,11,1.0,1.0
ours,14,0.8478,0.8478
ours,17,0.8913,0.8913
ours,18,0.9348,0.9348
ours,19,0.9565,0.9565
ours,22,0.9783,0.9783
ours,23,0.9783,0.9783
ours,24,1.0,1.0
ours,25,1.0,1.0
ours,26,1.0,1.0
ours,27,0.9348,0.9348
ours,29,0.9783,0.9783
ours,30,1.0,1.0
ours,31,0.8913,0.8913
ours,33,0.7391,0.7391
ours,34,1.0,1.0
ours,36,0.9348,0.9348
ours,38,0.8478,0.8478
ours,40,0.9783,0.9783
ours,41,0.9348,0.9348
ours,42,0.9783,0.9783
ours,45,0.8478,0.8478
ours,48,1.0,1.0
ours,49,1.0,1.0
ours,50,0.8696,0.8696
ours,51,0.7609,0.7609
ours,52,0.9783,0.9783
ours,53,0.8478,0.8478
ours,55,1.0,1.0
ours,56,0.8913,0.8913
ours,57,0.8478,0.8478
ours,58,0.8261,0.8261
ours,61,1.0,1.0
ours,63,0.9783,0.9783
fastdllm,0,1.0,1.0
fastdllm,1,1.0,1.0
fastdllm,3,1.0,1.0
fastdllm,4,0.9783,0.9783
fastdllm,6,1.0,1.0
fastdllm,9,1.0,1.0
fastdllm,10,0.9565,0.9565
fastdllm,11,1.0,1.0
fastdllm,14,1.0,1.0
fastdllm,17,1.0,1.0
fastdllm,18,1.0,1.0
fastdllm,19,1.0,1.0
fastdllm,22,1.0,1.0
fastdllm,23,1.0,1.0
fastdllm,24,1.0,1.0
fastdllm,25,1.0,1.0
fastdllm,26,0.3261,0.3261
fastdllm,27,1.0,1.0
fastdllm,29,0.8696,0.8696
fastdllm,30,1.0,1.0
fastdllm,31,0.9783,0.9783
fastdllm,33,0.5652,0.5652
fastdllm,34,0.9783,0.9783
fastdllm,36,1.0,1.0
fastdllm,38,0.9348,0.9348
fastdllm,40,1.0,1.0
fastdllm,41,0.9783,0.9783
fastdllm,42,1.0,1.0
fastdllm,45,0.8913,0.8913
fastdllm,48,1.0,1.0
fastdllm,49,1.0,1.0
fastdllm,50,1.0,1.0
fastdllm,51,0.7174,0.7174
fastdllm,52,1.0,1.0
fastdllm,53,0.5217,0.5217
fastdllm,55,1.0,1.0
fastdllm,56,1.0,1.0
fastdllm,57,0.9783,0.9783
fastdllm,58,1.0,1.0
fastdllm,61,1.0,1.0
fastdllm,63,0.9348,0.9348
d2cache,0,1.0,1.0
d2cache,1,1.0,1.0
d2cache,3,1.0,1.0
d2cache,4,1.0,1.0
d2cache,6,0.9783,0.9783
d2cache,9,0.9783,0.9783
d2cache,10,0.913,0.913
d2cache,11,1.0,1.0
d2cache,14,0.9565,0.9565
d2cache,17,1.0,1.0
d2cache,18,0.9565,0.9565
d2cache,19,0.913,0.913
d2cache,22,1.0,1.0
d2cache,23,1.0,1.0
d2cache,24,1.0,1.0
d2cache,25,1.0,1.0
d2cache,26,0.6957,0.6957
d2cache,27,1.0,1.0
d2cache,29,1.0,1.0
d2cache,30,0.9783,0.9783
d2cache,31,0.8913,0.8913
d2cache,33,0.5652,0.5652
d2cache,34,0.8696,0.8696
d2cache,36,0.9783,0.9783
d2cache,38,0.9348,0.9348
d2cache,40,1.0,1.0
d2cache,41,0.9783,0.9783
d2cache,42,1.0,1.0
d2cache,45,0.8478,0.8478
d2cache,48,1.0,1.0
d2cache,49,1.0,1.0
d2cache,50,0.9565,0.9565
d2cache,51,0.9348,0.9348
d2cache,52,0.913,0.913
d2cache,53,0.587,0.587
d2cache,55,1.0,1.0
d2cache,56,1.0,1.0
d2cache,57,0.913,0.913
d2cache,58,0.8261,0.8261
d2cache,61,0.9783,0.9783
d2cache,63,0.9783,0.9783
dllmcache,0,1.0,1.0
dllmcache,1,1.0,1.0
dllmcache,3,0.9783,0.9783
dllmcache,4,0.9783,0.9783
dllmcache,6,0.9348,0.9348
dllmcache,9,0.8696,0.8696
dllmcache,10,0.9783,0.9783
dllmcache,11,1.0,1.0
dllmcache,14,0.9565,0.9565
dllmcache,17,1.0,1.0
dllmcache,18,0.913,0.913
dllmcache,19,0.9565,0.9565
dllmcache,22,1.0,1.0
dllmcache,23,0.9348,0.9348
dllmcache,24,1.0,1.0
dllmcache,25,1.0,1.0
dllmcache,26,1.0,1.0
dllmcache,27,0.9783,0.9783
dllmcache,29,0.9783,0.9783
dllmcache,30,1.0,1.0
dllmcache,31,0.9565,0.9565
dllmcache,33,0.9348,0.9348
dllmcache,34,0.913,0.913
dllmcache,36,0.9565,0.9565
dllmcache,38,0.913,0.913
dllmcache,40,1.0,1.0
dllmcache,41,0.9783,0.9783
dllmcache,42,0.9783,0.9783
dllmcache,45,0.9565,0.9565
dllmcache,48,1.0,1.0
dllmcache,49,1.0,1.0
dllmcache,50,0.9783,0.9783
dllmcache,51,0.8696,0.8696
dllmcache,52,0.9565,0.9565
dllmcache,53,0.9348,0.9348
dllmcache,55,0.9565,0.9565
dllmcache,56,0.9783,0.9783
dllmcache,57,0.9348,0.9348
dllmcache,58,1.0,1.0
dllmcache,61,0.9783,0.9783
dllmcache,63,0.9348,0.9348
