method,thread,gen_len,len_prompt_avg,s_doc,tflops_doc,tflops_per_s,speedup_vs_dense,mem_alloc_gib,mem_reserved_gib
dense,llada_base,256,1023,28.98,5130.8,177.1,1.00,15.589,18.037
dense,llada_instruct,256,1023,29.42,5130.8,174.4,1.00,15.589,17.734
dense,dream_base,256,1009,25.84,4742.2,183.5,1.00,15.005,17.223
dense,dream_instruct,256,1009,26.38,4742.2,179.8,1.00,15.005,17.223
ours,llada_base,256,1023,6.96,220.2,31.7,4.17,15.916,16.322
ours,llada_instruct,256,1023,6.18,107.9,17.4,4.76,15.875,16.408
ours,dream_base,256,1009,6.47,204.6,31.6,3.99,14.696,15.158
ours,dream_instruct,256,1009,6.39,204.6,32.0,4.13,14.696,15.158
dllmcache,llada_base,256,1023,10.03,1051.9,104.9,2.89,16.652,18.982
dllmcache,llada_instruct,256,1023,10.21,1051.9,103.0,2.88,16.652,18.982
dllmcache,dream_base,256,1009,8.16,743.5,91.1,3.17,15.41,17.459
dllmcache,dream_instruct,256,1009,8.31,743.5,89.5,3.17,15.41,17.459
fastdllm,llada_base,256,1023,5.54,284.7,51.3,5.23,15.981,17.1
fastdllm,llada_instruct,256,1023,5.65,284.7,50.4,5.21,15.981,17.1
fastdllm,dream_base,256,1009,5.37,264.4,49.3,4.82,14.744,15.73
fastdllm,dream_instruct,256,1009,5.46,264.4,48.5,4.83,14.744,15.73
d2cache,llada_base,256,1023,7.33,665.5,90.8,3.95,16.23,17.477
d2cache,llada_instruct,256,1023,7.82,665.5,85.1,3.76,16.23,17.477
d2cache,dream_base,256,1009,7.47,616.5,82.5,3.46,15.066,16.109
d2cache,dream_instruct,256,1009,7.64,616.5,80.7,3.45,15.066,16.109
dense,llada_base,512,1023,70.97,12420.5,175.0,1.00,15.925,18.865
dense,llada_instruct,512,1023,71.01,12420.5,174.9,1.00,15.71,18.26
dense,dream_base,512,1009,63.51,11484.3,180.8,1.00,15.416,18.076
dense,dream_instruct,512,1009,64.73,11484.3,177.4,1.00,15.416,18.076
ours,llada_base,512,1023,15.17,703.0,46.3,4.68,16.368,16.922
ours,llada_instruct,512,1023,12.14,217.7,17.9,5.85,16.102,16.809
ours,dream_base,512,1009,14.04,653.8,46.6,4.52,15.104,15.666
ours,dream_instruct,512,1009,13.88,653.8,47.1,4.67,15.104,15.666
dllmcache,llada_base,512,1023,27.13,3004.2,110.8,2.62,17.114,19.984
dllmcache,llada_instruct,512,1023,27.70,3004.2,108.5,2.56,17.114,19.984
dllmcache,dream_base,512,1009,20.31,2259.8,111.3,3.13,15.812,18.363
dllmcache,dream_instruct,512,1009,20.71,2259.8,109.1,3.13,15.812,18.363
fastdllm,llada_base,512,1023,11.44,638.9,55.9,6.21,16.155,17.498
fastdllm,llada_instruct,512,1023,11.68,638.9,54.7,6.08,16.155,17.498
fastdllm,dream_base,512,1009,11.25,593.0,52.7,5.65,14.831,16.117
fastdllm,dream_instruct,512,1009,11.45,593.0,51.8,5.65,14.831,16.117
d2cache,llada_base,512,1023,16.43,1533.3,93.3,4.32,16.718,18.18
d2cache,llada_instruct,512,1023,17.43,1533.3,88.0,4.07,16.718,18.18
d2cache,dream_base,512,1009,15.85,1420.1,89.6,4.01,15.518,16.947
d2cache,dream_instruct,512,1009,16.11,1420.1,88.1,4.02,15.518,16.947
